Jan 01, 2004  01:35:57 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 36.80,   4.74E-010, 
 36.90,   6.96E-010, 
 37.00,   8.90E-010, 
 37.10,   1.04E-009, 
 37.20,   9.78E-010, 
 37.30,   8.06E-010, 
 37.40,   4.65E-010, 
 37.50,   3.12E-010, 
 37.60,   2.74E-010, 
 37.70,   4.37E-010, 
 37.80,   9.02E-010, 
 37.90,   1.45E-009, 
 38.00,   1.88E-009, 
 38.10,   2.17E-009, 
 38.20,   2.21E-009, 
 38.30,   1.83E-009, 
 38.40,   1.03E-009, 
 38.50,   7.15E-010, 
 38.60,   8.16E-010, 
 38.70,   2.07E-009, 
 38.80,   6.68E-009, 
 38.90,   1.13E-008, 
 39.00,   1.38E-008, 
 39.10,   1.49E-008, 
 39.20,   1.35E-008, 
 39.30,   9.77E-009, 
 39.40,   3.26E-009, 
 39.50,   1.58E-009, 
 39.60,   1.62E-009, 
 39.70,   4.79E-009, 
 39.80,   1.04E-008, 
 39.90,   1.42E-008, 
 40.00,   1.60E-008, 
 40.10,   1.64E-008, 
 40.20,   1.46E-008, 
 40.30,   7.49E-009, 
 40.40,   2.55E-009, 
 40.50,   1.47E-009, 
 40.60,   1.48E-009, 
 40.70,   3.88E-009, 
 40.80,   1.45E-008, 
 40.90,   2.30E-008, 
 41.00,   2.65E-008, 
 41.10,   2.86E-008, 
 41.20,   2.70E-008, 
 41.30,   1.99E-008, 
 41.40,   5.34E-009, 
 41.50,   1.80E-009, 
 41.60,   1.27E-009, 
 41.70,   2.09E-009, 
 41.80,   6.67E-009, 
 41.90,   1.15E-008, 
 42.00,   1.41E-008, 
 42.10,   1.55E-008, 
 42.20,   1.49E-008, 
 42.30,   1.13E-008, 
 42.40,   3.98E-009, 
 42.50,   1.64E-009, 
 42.60,   1.35E-009, 
 42.70,   2.93E-009, 
 42.80,   9.32E-009, 
 42.90,   1.50E-008, 
 43.00,   1.82E-008, 
 43.10,   2.04E-008, 
 43.20,   2.03E-008, 
 43.30,   1.57E-008, 
 43.40,   6.58E-009, 
 43.50,   5.35E-009, 
 43.60,   1.10E-008, 
 43.70,   5.68E-008, 
 43.80,   1.04E-007, 
 43.90,   1.35E-007, 
 44.00,   1.43E-007, 
 44.10,   1.52E-007, 
 44.20,   1.39E-007, 
