Jan 01, 2004  02:51:53 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 117.70,  -1.54E-011, 
 117.80,  -1.99E-011, 
 117.90,  -2.06E-011, 
 118.00,  -2.89E-011, 
 118.10,  -6.17E-011, 
 118.20,  -6.23E-011, 
 118.30,  -3.21E-012, 
 118.40,   7.71E-012, 
 118.50,  -2.06E-011, 
 118.60,  -2.38E-011, 
 118.70,  -2.76E-011, 
 118.80,  -3.28E-011, 
 118.90,  -2.89E-011, 
 119.00,  -1.48E-011, 
 119.10,  -1.93E-012, 
 119.20,  -9.00E-012, 
 119.30,   2.57E-012, 
 119.40,   5.78E-012, 
 119.50,   1.29E-011, 
 119.60,   2.44E-011, 
 119.70,   2.96E-011, 
 119.80,   6.36E-011, 
 119.90,   5.27E-011, 
 120.00,   4.88E-011, 
 120.10,   2.38E-011, 
 120.20,   4.82E-011, 
 120.30,   3.34E-011, 
 120.40,   1.61E-011, 
 120.50,   1.22E-011, 
 120.60,   1.16E-011, 
 120.70,   1.22E-011, 
 120.80,   2.57E-012, 
 120.90,  -1.09E-011, 
 121.00,   9.00E-012, 
 121.10,  -3.21E-011, 
 121.20,  -1.35E-011, 
 121.30,   5.14E-012, 
 121.40,  -1.54E-011, 
 121.50,  -8.35E-012, 
 121.60,  -2.12E-011, 
 121.70,  -8.35E-012, 
 121.80,  -5.14E-012, 
 121.90,  -1.35E-011, 
 122.00,  -8.35E-012, 
 122.10,   1.29E-012, 
 122.20,   2.70E-011, 
 122.30,   1.22E-011, 
 122.40,   2.89E-011, 
 122.50,   5.46E-011, 
 122.60,   4.24E-011, 
 122.70,  -3.86E-012, 
 122.80,   0.00E+000, 
 122.90,   1.48E-011, 
 123.00,   4.11E-011, 
 123.10,   4.43E-011, 
 123.20,   7.13E-011, 
 123.30,   9.00E-011, 
 123.40,   7.58E-011, 
 123.50,   8.68E-011, 
 123.60,   1.92E-010, 
 123.70,   3.23E-010, 
 123.80,   7.01E-010, 
 123.90,   1.80E-009, 
 124.00,   2.72E-009, 
 124.10,   2.80E-009, 
 124.20,   1.78E-009, 
 124.30,   8.12E-010, 
 124.40,   4.24E-010, 
 124.50,   2.29E-010, 
 124.60,   9.64E-011, 
 124.70,   6.36E-011, 
 124.80,   9.38E-011, 
 124.90,   4.05E-011, 
 125.00,   2.51E-011, 
 125.10,   5.78E-011, 
 125.20,   5.91E-011, 
 125.30,   6.81E-011, 
 125.40,   7.26E-011, 
 125.50,   1.28E-010, 
 125.60,   2.63E-010, 
 125.70,   3.25E-010, 
 125.80,   7.71E-010, 
 125.90,   1.85E-009, 
 126.00,   2.78E-009, 
 126.10,   2.89E-009, 
 126.20,   2.12E-009, 
 126.30,   1.30E-009, 
 126.40,   1.05E-009, 
 126.50,   1.16E-009, 
 126.60,   1.62E-009, 
 126.70,   2.23E-009, 
 126.80,   3.14E-009, 
 126.90,   4.37E-009, 
 127.00,   6.15E-009, 
 127.10,   7.56E-009, 
 127.20,   8.53E-009, 
 127.30,   9.24E-009, 
 127.40,   9.47E-009, 
 127.50,   9.95E-009, 
 127.60,   1.09E-008, 
 127.70,   1.39E-008, 
 127.80,   3.03E-008, 
 127.90,   5.67E-008, 
 128.00,   6.24E-008, 
 128.10,   5.08E-008, 
 128.20,   2.45E-008, 
 128.30,   1.22E-008, 
 128.40,   1.37E-008, 
 128.50,   1.90E-008, 
 128.60,   3.41E-008, 
 128.70,   7.66E-008, 
 128.80,   2.63E-007, 
 128.90,   6.15E-007, 
 129.00,   6.91E-007, 
 129.10,   5.37E-007, 
 129.20,   1.53E-007, 
 129.30,   1.54E-008, 
 129.40,   9.28E-009, 
 129.50,   9.87E-009, 
 129.60,   1.20E-008, 
 129.70,   1.82E-008, 
 129.80,   4.82E-008, 
 129.90,   1.03E-007, 
 130.00,   1.19E-007, 
 130.10,   9.91E-008, 
 130.20,   4.13E-008, 
 130.30,   1.75E-008, 
 130.40,   1.76E-008, 
 130.50,   2.06E-008, 
 130.60,   2.98E-008, 
 130.70,   5.47E-008, 
 130.80,   1.81E-007, 
 130.90,   4.13E-007, 
